timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
529994508,0.045812517,-0.06481599,0.25325432,0.0,0.9911188,0.026799925,-0.029243423,0.12692581,0.0,0.0,-0.5271763,0,0,0,0,0
530044274,0.04346052,-0.06351906,0.2532543,0.0,0.991172,0.02555297,-0.028749822,0.12687998,0.0,0.0,-0.53359956,0,0,0,0,0
530098582,0.044069484,-0.063812494,0.2532543,0.0,0.99115914,0.025873175,-0.028856637,0.12689136,0.0,0.0,-0.52606064,0,0,0,0,0
530148247,0.040782172,-0.062435046,0.2532543,0.0,0.9912237,0.024157537,-0.028382374,0.12683256,0.0,0.0,-0.5387021,0,0,0,0,0
530197602,0.0406397,-0.06126348,0.2532543,0.0,0.99124485,0.024013365,-0.027810667,0.12682103,0.0,0.0,-0.5486131,0,0,0,0,0
530247099,0.03688833,-0.06148763,0.2532543,0.0,0.99128443,0.022168145,-0.028159613,0.12677024,0.0,0.0,-0.5479007,0,0,0,0,0
530296662,0.029878745,-0.05892256,0.2532543,0.0,0.99139684,0.01853246,-0.027332118,0.12665667,0.0,0.0,-0.55364263,0,0,0,0,0
530346122,0.0302445,-0.056432497,0.25325432,0.0,0.99143136,0.018557152,-0.026074478,0.12664753,0.0,0.0,-0.56388533,0,0,0,0,0
530395912,0.028567819,-0.053852964,0.2532543,0.0,0.99148417,0.01756369,-0.02490176,0.12661184,0.0,0.0,-0.5666048,0,0,0,0,0
530445440,0.022936407,-0.05166559,0.2532543,0.0,0.9915599,0.014634159,-0.024173636,0.12653244,0.0,0.0,-0.5672997,0,0,0,0,0
530494975,0.025211973,-0.047511157,0.25325432,0.0,0.991597,0.015500748,-0.021969784,0.1265404,0.0,0.0,-0.576236,0,0,0,0,0
530544977,0.024074525,-0.048486255,0.2532543,0.0,0.9915933,0.014998207,-0.022525234,0.12653223,0.0,0.0,-0.5732613,0,0,0,0,0
530598969,0.02483566,-0.046426423,0.2532543,0.0,0.9916134,0.015245855,-0.021455739,0.12653118,0.0,0.0,-0.5785459,0,0,0,0,0
530644066,0.025119975,-0.045778256,0.2532543,0.0,0.9916191,0.015345999,-0.021116361,0.12653114,0.0,0.0,-0.5794156,0,0,0,0,0
530684452,0.020102117,-0.044537336,0.2532543,0.0,0.9916692,0.012779859,-0.02081843,0.12647334,0.0,0.0,-0.57793325,0,0,0,0,0
530747891,0.024717042,-0.04374391,0.2532543,0.0,0.99164635,0.015018087,-0.020133117,0.12651728,0.0,0.0,-0.57910186,0,0,0,0,0
530797113,0.025030099,-0.042674858,0.25325432,0.0,0.9916563,0.015105966,-0.019583216,0.12651528,0.0,0.0,-0.5733164,0,0,0,0,0
530846713,0.025377708,-0.040911257,0.2532543,0.0,0.99167335,0.015167221,-0.018686716,0.12650988,0.0,0.0,-0.5808336,0,0,0,0,0
530896649,0.02427551,-0.038425602,0.2532543,0.0,0.9917079,0.014464094,-0.017523853,0.12648773,0.0,0.0,-0.57882184,0,0,0,0,0
530946015,0.026320877,-0.039310385,0.2532543,0.0,0.99168336,0.015534029,-0.017833227,0.12651026,0.0,0.0,-0.5714462,0,0,0,0,0
530995480,0.017107874,-0.033674028,0.25325432,0.0,0.9917984,0.010610296,-0.015620707,0.12640938,0.0,0.0,-0.5621578,0,0,0,0,0
531045095,0.027572693,-0.037245173,0.2532543,0.0,0.9916948,0.016024627,-0.016729953,0.12650979,0.0,0.0,-0.5279611,0,0,0,0,0
531095022,0.013817177,-0.036104348,0.2995625,0.0,0.98860043,0.0095236385,-0.016817925,0.14931728,0.0,0.0,-0.5033699,0,0,0,0,0
531144637,0.013186908,-0.03534443,0.2995625,0.0,0.98861045,0.009155452,-0.016489336,0.14931051,0.0,0.0,-0.46852303,0,0,0,0,0
531194080,0.014512178,-0.03540893,0.29956254,0.0,0.98860353,0.009815346,-0.01642228,0.14932157,0.0,0.0,-0.46555403,0,0,0,0,0
531248330,0.0155773545,-0.03388123,0.2995625,0.0,0.9886122,0.010228002,-0.015587572,0.14932635,0.0,0.0,-0.41831318,0,0,0,0,0
531297973,0.016146962,-0.034397345,0.29956254,0.0,0.9886046,0.010548026,-0.015800169,0.14933221,0.0,0.0,-0.39502496,0,0,0,0,0
531347581,0.010054941,-0.03738919,0.29956248,0.0,0.9886045,0.007759735,-0.017733898,0.1492868,0.0,0.0,-0.3963032,0,0,0,0,0
531397008,0.0036474012,-0.041112147,0.2995625,0.0,0.98858756,0.0048700944,-0.020052379,0.14922714,0.0,0.0,-0.39913207,0,0,0,0,0
531446409,0.013258336,-0.0461189,0.2995625,0.0,0.9884963,0.009993749,-0.021809803,0.14933003,0.0,0.0,-0.39676443,0,0,0,0,0
531496197,0.013556402,-0.046813212,0.2995625,0.0,0.9884865,0.010192801,-0.022130724,0.1493344,0.0,0.0,-0.40708348,0,0,0,0,0
531545616,0.0033691667,-0.047597375,0.29956254,0.0,0.9885164,0.005216194,-0.02327867,0.14921904,0.0,0.0,-0.42982703,0,0,0,0,0
531595266,-0.0007405835,-0.04670651,0.29956254,0.0,0.9885353,0.0031184528,-0.023144925,0.14917262,0.0,0.0,-0.4596955,0,0,0,0,0
531645181,-0.0036468317,-0.049934875,0.29956254,0.0,0.9885007,0.0019228568,-0.024957297,0.14913008,0.0,0.0,-0.49084106,0,0,0,0,0
531694782,-0.0045179417,-0.051957924,0.2995625,0.0,0.98847634,0.0016432594,-0.026022112,0.14911309,0.0,0.0,-0.51558393,0,0,0,0,0
531744370,-0.011334769,-0.05631452,0.2995625,0.0,0.9884197,-0.0014006243,-0.028683236,0.14900252,0.0,0.0,-0.54681516,0,0,0,0,0
531798664,-0.011605223,-0.05922694,0.29956254,0.0,0.9883792,-0.0013168389,-0.03014263,0.14898404,0.0,0.0,-0.57861674,0,0,0,0,0
531847984,-0.011415512,-0.063623376,0.29956254,0.0,0.98831445,-0.000894843,-0.032300986,0.14896443,0.0,0.0,-0.59914356,0,0,0,0,0
531897572,-0.018932689,-0.06533705,0.29956254,0.0,0.98827803,-0.004481451,-0.033707377,0.1488298,0.0,0.0,-0.6114562,0,0,0,0,0
531947061,-0.016937805,-0.06731137,0.29956254,0.0,0.98825085,-0.0033482052,-0.034534402,0.14885023,0.0,0.0,-0.59075534,0,0,0,0,0
531996670,-0.016969612,-0.06628696,0.29956254,0.0,0.98826706,-0.0034404527,-0.034030627,0.14885654,0.0,0.0,-0.5788419,0,0,0,0,0
532046157,-0.013074969,-0.064777136,0.29956254,0.0,0.9882956,-0.0016287188,-0.03299467,0.14893106,0.0,0.0,-0.5653559,0,0,0,0,0
532095885,-0.011625655,-0.06658508,0.2995625,0.0,0.98826796,-0.00077755493,-0.03378007,0.14894532,0.0,0.0,-0.55276513,0,0,0,0,0
532145804,-0.013879652,-0.06494217,0.29956254,0.0,0.98829234,-0.0020140263,-0.033136133,0.14891681,0.0,0.0,-0.5550513,0,0,0,0,0
532195211,-0.010347856,-0.065268576,0.2995625,0.0,0.98828924,-0.00024443338,-0.033034395,0.14897346,0.0,0.0,-0.5512402,0,0,0,0,0
532245163,-0.016539136,-0.06477647,0.2995625,0.0,0.9882913,-0.0033405758,-0.033252254,0.14887369,0.0,0.0,-0.5492089,0,0,0,0,0
532294700,-0.009065828,-0.06825756,0.29956248,0.0,0.98824084,0.00061218196,-0.034415785,0.14898045,0.0,0.0,-0.54458886,0,0,0,0,0
532348671,-0.015209212,-0.07089678,0.2995625,0.0,0.98819417,-0.0022262526,-0.036177203,0.1488573,0.0,0.0,-0.53488827,0,0,0,0,0
532398273,-0.014614598,-0.07137015,0.29956248,0.0,0.9881868,-0.0018970999,-0.036366805,0.14886507,0.0,0.0,-0.5310028,0,0,0,0,0
532447663,-0.018387172,-0.067700654,0.2995625,0.0,0.988242,-0.004035288,-0.034834597,0.14882238,0.0,0.0,-0.5301158,0,0,0,0,0
