timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
546596235,546595661,0.015536339,0.01765787,-0.020621112,0.5431763,0.0,0.0,0.0,-1.0
546645832,546645265,0.037377033,0.061094373,-0.020574275,0.54867315,0.0,0.0,0.0,-1.0
546698458,546697877,0.07330645,0.0949631,-0.022486906,0.544472,0.0,0.0,0.0,-1.0
546746547,546745978,0.05198278,0.065423295,-0.022026088,0.5417589,0.0,0.0,0.0,-1.0
546796149,546795583,0.030899053,0.08604479,-0.024600597,0.5439552,0.0,0.0,0.0,-1.0
546845765,546845187,0.042217214,0.09246329,-0.024726313,0.5429094,0.0,0.0,0.0,-1.0
546899876,546899302,-0.0093435105,-0.0076042055,-0.020229667,0.55152464,0.0,0.0,0.0,-1.0
546947969,546947403,0.004999309,0.0023959402,-0.018886264,0.55626905,0.0,0.0,0.0,-1.0
546996072,546995504,-0.028003188,0.03273325,-0.020264778,0.5514175,0.0,0.0,0.0,-1.0
547048682,547048115,-0.012080734,-0.027599534,-0.022378543,0.5463699,0.0,0.0,0.0,-1.0
547096792,547096217,0.018065004,0.034845177,-0.024170564,0.5474675,0.0,0.0,0.0,-1.0
547146394,547145821,0.008512775,0.05714217,-0.024192829,0.54961133,0.0,0.0,0.0,-1.0
547199006,547198433,0.056205362,0.04983749,-0.015953505,0.54771906,0.0,0.0,0.0,-1.0
547247103,547246534,0.05960775,0.03992251,-0.0159622,0.54452175,0.0,0.0,0.0,-1.0
547296709,547296139,-0.008738415,0.029968457,-0.015319132,0.5433609,0.0,0.0,0.0,-1.0
547346322,547345743,0.00078886346,0.08462691,-0.01278409,0.53836054,0.0,0.0,0.0,-1.0
547398927,547398354,0.06725618,0.09168429,-0.018659825,0.5307404,0.0,0.0,0.0,-1.0
547448532,547447966,0.021370562,0.040160593,-0.016698139,0.54931134,0.0,0.0,0.0,-1.0
547499642,547499067,0.06906649,0.10816684,-0.019391427,0.5291109,0.0,0.0,0.0,-1.0
547549249,547548671,0.056010164,0.060019847,-0.01747943,0.5261398,0.0,0.0,0.0,-1.0
547597339,547596773,0.037484873,0.039330944,-0.018235367,0.5305226,0.0,0.0,0.0,-1.0
547646961,547646384,-0.00181226,0.021169553,-0.015704561,0.5344691,0.0,0.0,0.0,-1.0
547695053,547694479,0.01453792,0.058903467,-0.019492177,0.5304408,0.0,0.0,0.0,-1.0
547747657,547747090,0.068050556,0.06098244,-0.028222049,0.5276374,0.0,0.0,0.0,-1.0
547798781,547798198,0.020077314,0.02065844,-0.022959804,0.5268089,0.0,0.0,0.0,-1.0
547845382,547844796,-0.0025431428,0.020633982,-0.020723123,0.5330522,0.0,0.0,0.0,-1.0
547897975,547897407,0.055135258,0.109158024,-0.023893565,0.531513,0.0,0.0,0.0,-1.0
547947619,547947024,0.044353563,0.044589583,-0.023225568,0.520323,0.0,0.0,0.0,-1.0
547997190,547996616,0.01858021,0.0011756994,-0.022212919,0.52966595,0.0,0.0,0.0,-1.0
548046811,548046235,0.002538111,0.005742306,-0.01970878,0.53160566,0.0,0.0,0.0,-1.0
548094889,548094322,0.034631204,0.051472254,-0.023214433,0.5252227,0.0,0.0,0.0,-1.0
548147500,548146934,0.031498324,0.094227485,-0.021510081,0.5220247,0.0,0.0,0.0,-1.0
548195605,548195035,0.06268827,0.09045902,-0.026561879,0.5229815,0.0,0.0,0.0,-1.0
548248223,548247646,0.013662635,0.07237812,-0.02154458,0.5297693,0.0,0.0,0.0,-1.0
