timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
543048131,9.7088,9.817309,10.9244,12.301752,-1.0,507.89792,0.0,1.1571429,nan,3,3.2724364,3.2724364,3.2724364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
543248475,9.307,9.8265705,11.6064005,12.011231,-1.0,508.5332,0.0,1.1571429,nan,3,3.2755234,3.2755234,3.2755234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
543447684,10.004,9.848234,12.0032,11.862672,-1.0,509.17017,0.0,1.1571429,nan,3,3.2827446,3.2827446,3.2827446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
543648179,10.323799,9.843285,12.8836,11.863375,-1.0,509.83133,0.0,1.1571429,nan,3,3.2810948,3.2810948,3.2810948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
543848143,9.2414,9.831758,13.1564,12.00796,-1.0,510.51385,0.0,1.1571429,nan,3,3.2772524,3.2772524,3.2772524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
544037686,9.4382,9.829906,11.036,12.059553,-1.0,511.15857,0.0,1.1571429,nan,3,3.2766354,3.2766354,3.2766354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
544248091,9.4628,9.823401,11.420401,12.014314,-1.0,511.8551,0.0,1.1571429,nan,3,3.2744672,3.2744672,3.2744672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
544447906,9.5448,9.80726,13.292799,12.160359,-1.0,512.54443,0.0,1.1571429,nan,3,3.2690866,3.2690866,3.2690866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
544649158,10.045,9.800478,10.2671995,12.40055,-1.0,513.27374,0.0,1.1571429,nan,3,3.266826,3.266826,3.266826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
544847784,9.8072,9.827921,10.044,11.60139,-1.0,513.82336,0.0,1.1571429,nan,3,3.2759736,3.2759736,3.2759736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
