timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
542518801,542516054,2162698,-0.0009280363,-0.004227765,-0.00087396096,0.34906584,2.4770161e-09,2.478516e-09,4.5067603e-09,2162698,0.05436171,0.013616462,-0.13512602,0.4,5.0062804e-06,5.0062804e-06,5.0062804e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
542708063,542705454,2162698,-0.00075189647,-0.004211336,-0.00086864975,0.34906584,2.4665796e-09,2.4686482e-09,4.5247073e-09,2162698,0.054496203,0.01154046,-0.13587217,0.4,5.00941e-06,5.00941e-06,5.00941e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
542928013,542926420,2162698,-0.0007145076,-0.004191049,-0.00086115266,0.34906584,2.454404e-09,2.4578652e-09,4.537954e-09,2162698,0.054605618,0.011052339,-0.13674724,0.4,5.0046924e-06,5.0046924e-06,5.0046924e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
543118281,543115819,2162698,-0.00069531734,-0.0041277613,-0.00083717104,0.34906584,2.4427478e-09,2.4482467e-09,4.5555297e-09,2162698,0.055340614,0.010750682,-0.13759018,0.4,5.007627e-06,5.007627e-06,5.007627e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
543515014,543512664,2162698,-0.0007253738,-0.004071335,-0.00081636885,0.34906584,2.4150417e-09,2.424833e-09,4.5848116e-09,2162698,0.055880714,0.0109893875,-0.1387091,0.4,5.0012914e-06,5.0012914e-06,5.0012914e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
543910393,543904984,2162698,-0.00082773285,-0.0040625683,-0.0008017885,0.34906584,2.3843232e-09,2.3959699e-09,4.6100004e-09,2162698,0.05580936,0.012123061,-0.13818665,0.4,4.9894093e-06,4.9894093e-06,4.9894093e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
544136652,544134969,2162698,-0.0008989097,-0.0040902714,-0.000788486,0.34906584,2.3752098e-09,2.3866265e-09,4.629832e-09,2162698,0.05552765,0.012973549,-0.13753363,0.4,4.9894466e-06,4.9894466e-06,4.9894225e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
544309209,544306331,2162698,-0.0010029204,-0.0041379672,-0.000771657,0.34906584,2.36796e-09,2.378997e-09,4.6567465e-09,2162698,0.055353623,0.014251093,-0.13753514,0.4,5.005645e-06,5.005645e-06,5.005645e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
544516321,544513769,2162698,-0.0010735735,-0.0041972385,-0.0007350728,0.34906584,2.3521918e-09,2.363205e-09,4.661234e-09,2162698,0.05454256,0.01510404,-0.13587083,0.4,4.995909e-06,4.995909e-06,4.995909e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
544719269,544716704,2162698,-0.0011524869,-0.0042604315,-0.0007045325,0.34906584,2.3434958e-09,2.3554245e-09,4.680227e-09,2162698,0.054053646,0.016069615,-0.13671117,0.4,5.00387e-06,5.00387e-06,5.00387e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
544908732,544906096,2162698,-0.0011928489,-0.004303903,-0.00068464875,0.34906584,2.331864e-09,2.3455966e-09,4.694697e-09,2162698,0.053672805,0.016565362,-0.13763535,0.4,5.007012e-06,5.007012e-06,5.007012e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
